Time,Reading1,Reading2
92932743,495,461
92933279,494,461
92933816,495,460
92934352,495,460
92934889,495,460
92935426,495,461
92935962,495,460
92936499,494,460
92937035,494,460
92937572,496,460
92938108,496,461
92938645,495,460
92939182,494,460
92939718,495,460
92940255,495,461
92940791,495,461
92941328,495,461
92941864,494,461
92942404,495,460
92942941,495,460
92943477,496,460
92944014,495,460
92944550,494,461
92945087,495,460
92945624,495,461
92946160,494,461
92946697,495,460
92947233,495,460
92947770,494,460
92948306,496,461
92948843,496,460
92949380,495,460
92949916,495,460
92950453,494,460
92950989,495,461
92951526,495,460
92952062,495,460
92952599,494,461
92953136,495,461
92953672,496,460
92954209,497,460
92954745,494,461
92955282,495,461
92955819,494,460
92956358,496,460
92956895,496,460
92957456,495,460
92957992,494,460
92958529,494,460
92959074,495,460
92959609,496,460
92960146,495,461
92960683,495,460
92961219,494,460
92961756,496,460
92962292,496,461
92962829,494,461
92963365,495,460
92963902,494,460
92964438,495,460
92964974,495,460
92965511,495,461
92966047,496,460
92966584,496,460
92967120,494,460
92967657,495,460
